12f7 -- 9. Kaikki tietoryhmät;;;;;;;
;;;;;;;
Postinumeroalue;Postinumeroalueen pinta-ala;Asukkaat yhteensä, 2018 (HE);Asukkaiden keskitulot, 2017 (HR);Asukkaiden mediaanitulot, 2017 (HR);Asumisväljyys, 2018 (TE);Taloudet yhteensä, 2017 (TR);Työttömät, 2017 (PT)
02340  Latokaski (Espoo);3617720;4982;32011;28991;33.2;1789;133
02360  Soukka (Espoo);4902586;9918;31636;24942;39.0;4481;499
02380  Suvisaaristo (Espoo);8990600;649;67865;31243;66.5;256;13
02390  Sarvvik (Kirkkonummi);12005670;603;40798;25857;43.3;273;14
02400  Kirkkonummi Keskus (Kirkkonummi);71190787;12388;27618;24312;41.1;5616;510
02410  Gesterby (Kirkkonummi);916658;1996;21607;19815;39.2;1185;195
02420  Jorvas (Kirkkonummi);49028555;1784;38361;29209;54.2;676;48
02430  Masala (Kirkkonummi);9947574;4385;26761;23622;34.5;1876;263
02440  Luoma (Kirkkonummi);8435586;599;39218;27712;59.0;244;19
02450  Sundsberg (Kirkkonummi);4292942;2126;39280;35422;35.1;633;33
02460  Kantvik (Kirkkonummi);4388139;1782;30034;26670;44.1;771;76
02470  Upinniemi (Kirkkonummi);7830571;265;23004;22350;41.4;187;16
02480  Porkkala (Kirkkonummi);112373251;4542;32526;28494;45.8;1753;134
02490  Pikkala (Siuntio);7888455;303;27192;24890;45.9;154;16
02510  Oitmäki (Kirkkonummi);16213518;465;31466;24763;49.3;194;16
02520  Lapinkylä (Kirkkonummi);17733356;795;30728;25531;50.6;317;25
02540  Kylmälä (Kirkkonummi);16071748;618;33652;25898;52.6;253;28
02550  Evitskog (Kirkkonummi);34440037;850;29196;24717;51.3;346;37
02570  Siuntio Kirkonkylä (Siuntio);91283112;1285;26235;24391;48.9;546;46
02580  Siuntio Asemanseutu (Siuntio);84188884;3435;28689;24447;48.6;1418;106
02590  Lappers (Siuntio);15359940;247;30229;25141;50.9;93;1
02600  Etelä-Leppävaara (Espoo);4424274;11901;27774;24134;32.2;5491;521
02610  Kilo (Espoo);2926723;6589;27526;22838;30.4;2714;376
02620  Karakallio (Espoo);4031134;8401;29100;25242;35.0;3609;324
02630  Nihtisilta (Espoo);2712530;3444;29363;26389;33.0;1508;162
02650  Pohjois-Leppävaara (Espoo);2648089;10829;27501;24826;33.6;5778;619
02660  Lintuvaara (Espoo);3357279;6165;32565;28008;34.5;2205;223
02680  Uusmäki (Espoo);1321122;2871;33721;29231;34.1;1148;85
02700  Kauniainen (Kauniainen);5543628;9484;49413;30730;47.9;3994;256
02710  Viherlaakso (Espoo);2651282;5929;29727;25748;38.2;2823;279
02720  Lähderanta (Espoo);1655678;2996;31185;26287;37.3;1358;114
02730  Jupperi (Espoo);3380257;4613;39969;32440;45.7;1630;114
02740  Bemböle-Pakankylä (Espoo);29804103;3298;31798;26621;36.4;1248;111
02750  Sepänkylä-Kuurinniitty (Espoo);5792011;6486;35232;28300;35.6;2574;266
02760  Tuomarila-Suvela (Espoo);4099624;14422;25247;23402;32.2;6549;820
02770  Espoon Keskus (Espoo);7755136;10706;24991;22137;33.2;4904;674
02780  Kauklahti (Espoo);28168264;11153;31111;26391;35.8;4231;474
02810  Gumböle-Karhusuo (Espoo);4352605;1785;32972;29510;37.8;639;47
02820  Nupuri-Nuuksio (Espoo);63272110;1517;33300;26873;46.7;561;52
02860  Siikajärvi (Espoo);15725519;623;28707;25119;44.8;257;31
02880  Veikkola (Kirkkonummi);40354062;5781;31521;27977;42.9;2168;172
02920  Niipperi (Espoo);12923102;5577;34733;28034;35.9;1850;173
02940  Lippajärvi-Järvenperä (Espoo);22712425;10308;31043;27122;36.7;4414;411
02970  Kalajärvi (Espoo);28461323;3824;30706;27202;38.9;1421;144
02980  Lakisto (Espoo);31113060;325;24582;21010;45.6;161;24
